Edge ID <> Lane ID,Source,Destination,Length,Speed Limit,Road Type
AA3AA2 <> AA3AA2_1,AA3,AA2,485.6,22.22,local road
AA3AA4 <> AA3AA4_0,AA3,AA4,485.6,22.22,local road
AA3AA4 <> AA3AA4_1,AA3,AA4,485.6,22.22,local road
AA3AB3 <> AA3AB3_0,AA3,AB3,482.4,13.89,local road
AA4AA3 <> AA4AA3_0,AA4,AA3,485.6,22.22,local road
AA4AA3 <> AA4AA3_1,AA4,AA3,485.6,22.22,local road
AA4AA5 <> AA4AA5_0,AA4,AA5,482.4,22.22,local road
AA4AA5 <> AA4AA5_1,AA4,AA5,482.4,22.22,local road
AA4AB4 <> AA4AB4_0,AA4,AB4,482.4,13.89,local road
AA5AA4 <> AA5AA4_0,AA5,AA4,482.4,22.22,local road
AA5AA4 <> AA5AA4_1,AA5,AA4,482.4,22.22,local road
AA5AA6 <> AA5AA6_0,AA5,AA6,482.4,22.22,local road
AA5AA6 <> AA5AA6_1,AA5,AA6,482.4,22.22,local road
AA5AB5 <> AA5AB5_0,AA5,AB5,482.4,22.22,local road
AA5AB5 <> AA5AB5_1,AA5,AB5,482.4,22.22,local road
AA6AA5 <> AA6AA5_0,AA6,AA5,482.4,22.22,local road
AA6AA5 <> AA6AA5_1,AA6,AA5,482.4,22.22,local road
AA6AA7 <> AA6AA7_0,AA6,AA7,485.6,22.22,local road
AA6AA7 <> AA6AA7_1,AA6,AA7,485.6,22.22,local road
AA6AB6 <> AA6AB6_0,AA6,AB6,482.4,13.89,local road
AA7AA6 <> AA7AA6_0,AA7,AA6,485.6,22.22,local road
AA7AA6 <> AA7AA6_1,AA7,AA6,485.6,22.22,local road
AA7AA8 <> AA7AA8_0,AA7,AA8,485.6,22.22,local road
AA7AA8 <> AA7AA8_1,AA7,AA8,485.6,22.22,local road
AA7AB7 <> AA7AB7_0,AA7,AB7,482.4,13.89,local road
AA8AA7 <> AA8AA7_0,AA8,AA7,485.6,22.22,local road
AA8AA7 <> AA8AA7_1,AA8,AA7,485.6,22.22,local road
AA8AA9 <> AA8AA9_0,AA8,AA9,485.6,22.22,local road
AA8AA9 <> AA8AA9_1,AA8,AA9,485.6,22.22,local road
AA8AB8 <> AA8AB8_0,AA8,AB8,482.4,13.89,local road
AA9AA10 <> AA9AA10_0,AA9,AA10,486.4,22.22,local road
AA9AA10 <> AA9AA10_1,AA9,AA10,486.4,22.22,local road
AA9AA8 <> AA9AA8_0,AA9,AA8,485.6,22.22,local road
AA9AA8 <> AA9AA8_1,AA9,AA8,485.6,22.22,local road
AA9AB9 <> AA9AB9_0,AA9,AB9,482.4,13.89,local road
AB0AA0 <> AB0AA0_0,AB0,AA0,486.4,22.22,local road
AB0AA0 <> AB0AA0_1,AB0,AA0,486.4,22.22,local road
AB0AB1 <> AB0AB1_0,AB0,AB1,482.4,13.89,local road
AB0AC0 <> AB0AC0_0,AB0,AC0,485.6,22.22,local road
AB0AC0 <> AB0AC0_1,AB0,AC0,485.6,22.22,local road
AB10AA10 <> AB10AA10_0,AB10,AA10,486.4,22.22,local road
AB10AA10 <> AB10AA10_1,AB10,AA10,486.4,22.22,local road
AB10AB9 <> AB10AB9_0,AB10,AB9,482.4,13.89,local road
AB10AC10 <> AB10AC10_0,AB10,AC10,485.6,22.22,local road
AB10AC10 <> AB10AC10_1,AB10,AC10,485.6,22.22,local road
AB1AA1 <> AB1AA1_0,AB1,AA1,482.4,13.89,local road
AB1AB0 <> AB1AB0_0,AB1,AB0,482.4,13.89,local road
AB1AB2 <> AB1AB2_0,AB1,AB2,485.6,13.89,local road
AB1AC1 <> AB1AC1_0,AB1,AC1,485.6,13.89,local road
AB2AA2 <> AB2AA2_0,AB2,AA2,482.4,13.89,local road
AB2AB1 <> AB2AB1_0,AB2,AB1,485.6,13.89,local road
AB2AB3 <> AB2AB3_0,AB2,AB3,485.6,13.89,local road
AB3AA3 <> AB3AA3_0,AB3,AA3,482.4,13.89,local road
AB3AB2 <> AB3AB2_0,AB3,AB2,485.6,13.89,local road
AB3AB4 <> AB3AB4_0,AB3,AB4,485.6,13.89,local road
AB3AC3 <> AB3AC3_0,AB3,AC3,485.6,13.89,local road
AB4AA4 <> AB4AA4_0,AB4,AA4,482.4,13.89,local road
AB4AB3 <> AB4AB3_0,AB4,AB3,485.6,13.89,local road
AB4AB5 <> AB4AB5_0,AB4,AB5,482.4,13.89,local road
AB4AC4 <> AB4AC4_0,AB4,AC4,485.6,13.89,local road
AB5AA5 <> AB5AA5_0,AB5,AA5,482.4,22.22,local road
AB5AA5 <> AB5AA5_1,AB5,AA5,482.4,22.22,local road
AB5AB4 <> AB5AB4_0,AB5,AB4,482.4,13.89,local road
AB5AB6 <> AB5AB6_0,AB5,AB6,482.4,13.89,local road
AB5AC5 <> AB5AC5_0,AB5,AC5,485.6,22.22,local road
AB5AC5 <> AB5AC5_1,AB5,AC5,485.6,22.22,local road
AB6AA6 <> AB6AA6_0,AB6,AA6,482.4,13.89,local road
AB6AB5 <> AB6AB5_0,AB6,AB5,482.4,13.89,local road
AB6AB7 <> AB6AB7_0,AB6,AB7,485.6,13.89,local road
AB6AC6 <> AB6AC6_0,AB6,AC6,485.6,13.89,local road
AB7AA7 <> AB7AA7_0,AB7,AA7,482.4,13.89,local road
AB7AB6 <> AB7AB6_0,AB7,AB6,485.6,13.89,local road
AB7AB8 <> AB7AB8_0,AB7,AB8,485.6,13.89,local road
AB7AC7 <> AB7AC7_0,AB7,AC7,485.6,13.89,local road
AB8AA8 <> AB8AA8_0,AB8,AA8,482.4,13.89,local road
AB8AB7 <> AB8AB7_0,AB8,AB7,485.6,13.89,local road
AB8AB9 <> AB8AB9_0,AB8,AB9,485.6,13.89,local road
AB9AA9 <> AB9AA9_0,AB9,AA9,482.4,13.89,local road
AB9AB10 <> AB9AB10_0,AB9,AB10,482.4,13.89,local road
AB9AB8 <> AB9AB8_0,AB9,AB8,485.6,13.89,local road
AB9AC9 <> AB9AC9_0,AB9,AC9,485.6,13.89,local road
AC0AB0 <> AC0AB0_0,AC0,AB0,485.6,22.22,local road
AC0AB0 <> AC0AB0_1,AC0,AB0,485.6,22.22,local road
AC0AC1 <> AC0AC1_0,AC0,AC1,482.4,13.89,local road
AC0AD0 <> AC0AD0_0,AC0,AD0,485.6,22.22,local road
AC0AD0 <> AC0AD0_1,AC0,AD0,485.6,22.22,local road
AC10AB10 <> AC10AB10_0,AC10,AB10,485.6,22.22,local road
AC10AB10 <> AC10AB10_1,AC10,AB10,485.6,22.22,local road
AC10AC9 <> AC10AC9_0,AC10,AC9,482.4,13.89,local road
AC10AD10 <> AC10AD10_0,AC10,AD10,485.6,22.22,local road
AC10AD10 <> AC10AD10_1,AC10,AD10,485.6,22.22,local road
AC1AB1 <> AC1AB1_0,AC1,AB1,485.6,13.89,local road
AC1AC0 <> AC1AC0_0,AC1,AC0,482.4,13.89,local road
AC1AC2 <> AC1AC2_0,AC1,AC2,485.6,13.89,local road
AC1AD1 <> AC1AD1_0,AC1,AD1,485.6,13.89,local road
AC2AC1 <> AC2AC1_0,AC2,AC1,485.6,13.89,local road
AC2AC3 <> AC2AC3_0,AC2,AC3,485.6,13.89,local road
AC2AD2 <> AC2AD2_0,AC2,AD2,485.6,13.89,local road
AC3AB3 <> AC3AB3_0,AC3,AB3,485.6,13.89,local road
AC3AC2 <> AC3AC2_0,AC3,AC2,485.6,13.89,local road
AC3AC4 <> AC3AC4_0,AC3,AC4,485.6,13.89,local road
AC3AD3 <> AC3AD3_0,AC3,AD3,485.6,13.89,local road
AC4AB4 <> AC4AB4_0,AC4,AB4,485.6,13.89,local road
AC4AC3 <> AC4AC3_0,AC4,AC3,485.6,13.89,local road
AC4AC5 <> AC4AC5_0,AC4,AC5,482.4,13.89,local road
AC4AD4 <> AC4AD4_0,AC4,AD4,485.6,13.89,local road
AC5AB5 <> AC5AB5_0,AC5,AB5,485.6,22.22,local road
AC5AB5 <> AC5AB5_1,AC5,AB5,485.6,22.22,local road
AC5AC4 <> AC5AC4_0,AC5,AC4,482.4,13.89,local road
AC5AC6 <> AC5AC6_0,AC5,AC6,482.4,13.89,local road
AC5AD5 <> AC5AD5_0,AC5,AD5,485.6,22.22,local road
AC5AD5 <> AC5AD5_1,AC5,AD5,485.6,22.22,local road
AC6AB6 <> AC6AB6_0,AC6,AB6,485.6,13.89,local road
AC6AC5 <> AC6AC5_0,AC6,AC5,482.4,13.89,local road
AC6AC7 <> AC6AC7_0,AC6,AC7,485.6,13.89,local road
AC6AD6 <> AC6AD6_0,AC6,AD6,485.6,13.89,local road
AC7AB7 <> AC7AB7_0,AC7,AB7,485.6,13.89,local road
AC7AC6 <> AC7AC6_0,AC7,AC6,485.6,13.89,local road
AC7AC8 <> AC7AC8_0,AC7,AC8,485.6,13.89,local road
AC7AD7 <> AC7AD7_0,AC7,AD7,485.6,13.89,local road
AC8AC7 <> AC8AC7_0,AC8,AC7,485.6,13.89,local road
AC8AC9 <> AC8AC9_0,AC8,AC9,485.6,13.89,local road
AC8AD8 <> AC8AD8_0,AC8,AD8,485.6,13.89,local road
AC9AB9 <> AC9AB9_0,AC9,AB9,485.6,13.89,local road
AC9AC10 <> AC9AC10_0,AC9,AC10,482.4,13.89,local road
AC9AC8 <> AC9AC8_0,AC9,AC8,485.6,13.89,local road
AC9AD9 <> AC9AD9_0,AC9,AD9,485.6,13.89,local road
AD0AC0 <> AD0AC0_0,AD0,AC0,485.6,22.22,local road
AD0AC0 <> AD0AC0_1,AD0,AC0,485.6,22.22,local road
AD0AD1 <> AD0AD1_0,AD0,AD1,482.4,13.89,local road
AD0AE0 <> AD0AE0_0,AD0,AE0,485.6,22.22,local road
AD0AE0 <> AD0AE0_1,AD0,AE0,485.6,22.22,local road
AD10AC10 <> AD10AC10_0,AD10,AC10,485.6,22.22,local road
AD10AC10 <> AD10AC10_1,AD10,AC10,485.6,22.22,local road
AD10AD9 <> AD10AD9_0,AD10,AD9,482.4,13.89,local road
AD10AE10 <> AD10AE10_0,AD10,AE10,485.6,22.22,local road
AD10AE10 <> AD10AE10_1,AD10,AE10,485.6,22.22,local road
AD1AC1 <> AD1AC1_0,AD1,AC1,485.6,13.89,local road
AD1AD0 <> AD1AD0_0,AD1,AD0,482.4,13.89,local road
AD1AD2 <> AD1AD2_0,AD1,AD2,485.6,13.89,local road
AD1AE1 <> AD1AE1_0,AD1,AE1,485.6,13.89,local road
AD2AC2 <> AD2AC2_0,AD2,AC2,485.6,13.89,local road
AD2AD1 <> AD2AD1_0,AD2,AD1,485.6,13.89,local road
AD2AD3 <> AD2AD3_0,AD2,AD3,485.6,13.89,local road
AD2AE2 <> AD2AE2_0,AD2,AE2,485.6,13.89,local road
AD3AC3 <> AD3AC3_0,AD3,AC3,485.6,13.89,local road
AD3AD2 <> AD3AD2_0,AD3,AD2,485.6,13.89,local road
AD3AD4 <> AD3AD4_0,AD3,AD4,485.6,13.89,local road
AD3AE3 <> AD3AE3_0,AD3,AE3,485.6,13.89,local road
AD4AC4 <> AD4AC4_0,AD4,AC4,485.6,13.89,local road
AD4AD3 <> AD4AD3_0,AD4,AD3,485.6,13.89,local road
AD4AD5 <> AD4AD5_0,AD4,AD5,482.4,13.89,local road
AD4AE4 <> AD4AE4_0,AD4,AE4,485.6,13.89,local road
AD5AC5 <> AD5AC5_0,AD5,AC5,485.6,22.22,local road
AD5AC5 <> AD5AC5_1,AD5,AC5,485.6,22.22,local road
AD5AD4 <> AD5AD4_0,AD5,AD4,482.4,13.89,local road
AD5AD6 <> AD5AD6_0,AD5,AD6,482.4,13.89,local road
AD5AE5 <> AD5AE5_0,AD5,AE5,485.6,22.22,local road
AD5AE5 <> AD5AE5_1,AD5,AE5,485.6,22.22,local road
AD6AC6 <> AD6AC6_0,AD6,AC6,485.6,13.89,local road
AD6AD5 <> AD6AD5_0,AD6,AD5,482.4,13.89,local road
AD6AD7 <> AD6AD7_0,AD6,AD7,485.6,13.89,local road
AD6AE6 <> AD6AE6_0,AD6,AE6,485.6,13.89,local road
AD7AC7 <> AD7AC7_0,AD7,AC7,485.6,13.89,local road
AD7AD6 <> AD7AD6_0,AD7,AD6,485.6,13.89,local road
AD7AD8 <> AD7AD8_0,AD7,AD8,485.6,13.89,local road
AD7AE7 <> AD7AE7_0,AD7,AE7,485.6,13.89,local road
AD8AC8 <> AD8AC8_0,AD8,AC8,485.6,13.89,local road
AD8AD7 <> AD8AD7_0,AD8,AD7,485.6,13.89,local road
AD8AD9 <> AD8AD9_0,AD8,AD9,485.6,13.89,local road
AD8AE8 <> AD8AE8_0,AD8,AE8,485.6,13.89,local road
AD9AC9 <> AD9AC9_0,AD9,AC9,485.6,13.89,local road
AD9AD10 <> AD9AD10_0,AD9,AD10,482.4,13.89,local road
AD9AD8 <> AD9AD8_0,AD9,AD8,485.6,13.89,local road
AD9AE9 <> AD9AE9_0,AD9,AE9,485.6,13.89,local road
AE0AD0 <> AE0AD0_0,AE0,AD0,485.6,22.22,local road
AE0AD0 <> AE0AD0_1,AE0,AD0,485.6,22.22,local road
AE0AE1 <> AE0AE1_0,AE0,AE1,482.4,13.89,local road
AE0AF0 <> AE0AF0_0,AE0,AF0,479.3,22.22,local road
AE0AF0 <> AE0AF0_1,AE0,AF0,479.3,22.22,local road
AE10AD10 <> AE10AD10_0,AE10,AD10,485.6,22.22,local road
AE10AD10 <> AE10AD10_1,AE10,AD10,485.6,22.22,local road
AE10AE9 <> AE10AE9_0,AE10,AE9,482.4,13.89,local road
AE10AF10 <> AE10AF10_0,AE10,AF10,482.4,22.22,local road
AE10AF10 <> AE10AF10_1,AE10,AF10,482.4,22.22,local road
AE1AD1 <> AE1AD1_0,AE1,AD1,485.6,13.89,local road
AE1AE0 <> AE1AE0_0,AE1,AE0,482.4,13.89,local road
AE1AE2 <> AE1AE2_0,AE1,AE2,485.6,13.89,local road
AE1AF1 <> AE1AF1_0,AE1,AF1,482.4,13.89,local road
AE2AD2 <> AE2AD2_0,AE2,AD2,485.6,13.89,local road
AE2AE1 <> AE2AE1_0,AE2,AE1,485.6,13.89,local road
AE2AE3 <> AE2AE3_0,AE2,AE3,485.6,13.89,local road
AE2AF2 <> AE2AF2_0,AE2,AF2,482.4,13.89,local road
AE3AD3 <> AE3AD3_0,AE3,AD3,485.6,13.89,local road
AE3AE2 <> AE3AE2_0,AE3,AE2,485.6,13.89,local road
AE3AE4 <> AE3AE4_0,AE3,AE4,485.6,13.89,local road
AE3AF3 <> AE3AF3_0,AE3,AF3,482.4,13.89,local road
AE4AD4 <> AE4AD4_0,AE4,AD4,485.6,13.89,local road
AE4AE3 <> AE4AE3_0,AE4,AE3,485.6,13.89,local road
AE4AE5 <> AE4AE5_0,AE4,AE5,482.4,13.89,local road
AE4AF4 <> AE4AF4_0,AE4,AF4,482.4,13.89,local road
AE5AD5 <> AE5AD5_0,AE5,AD5,485.6,22.22,local road
AE5AD5 <> AE5AD5_1,AE5,AD5,485.6,22.22,local road
AE5AE4 <> AE5AE4_0,AE5,AE4,482.4,13.89,local road
AE5AE6 <> AE5AE6_0,AE5,AE6,482.4,13.89,local road
AE5AF5 <> AE5AF5_0,AE5,AF5,482.4,22.22,local road
AE5AF5 <> AE5AF5_1,AE5,AF5,482.4,22.22,local road
AE6AD6 <> AE6AD6_0,AE6,AD6,485.6,13.89,local road
AE6AE5 <> AE6AE5_0,AE6,AE5,482.4,13.89,local road
AE6AE7 <> AE6AE7_0,AE6,AE7,485.6,13.89,local road
AE6AF6 <> AE6AF6_0,AE6,AF6,482.4,13.89,local road
AE7AD7 <> AE7AD7_0,AE7,AD7,485.6,13.89,local road
AE7AE6 <> AE7AE6_0,AE7,AE6,485.6,13.89,local road
AE7AE8 <> AE7AE8_0,AE7,AE8,485.6,13.89,local road
AE7AF7 <> AE7AF7_0,AE7,AF7,482.4,13.89,local road
AE8AD8 <> AE8AD8_0,AE8,AD8,485.6,13.89,local road
AE8AE7 <> AE8AE7_0,AE8,AE7,485.6,13.89,local road
AE8AE9 <> AE8AE9_0,AE8,AE9,485.6,13.89,local road
AE8AF8 <> AE8AF8_0,AE8,AF8,482.4,13.89,local road
AE9AD9 <> AE9AD9_0,AE9,AD9,485.6,13.89,local road
AE9AE10 <> AE9AE10_0,AE9,AE10,482.4,13.89,local road
AE9AE8 <> AE9AE8_0,AE9,AE8,485.6,13.89,local road
AE9AF9 <> AE9AF9_0,AE9,AF9,482.4,13.89,local road
AF0AE0 <> AF0AE0_0,AF0,AE0,479.3,22.22,local road
AF0AE0 <> AF0AE0_1,AF0,AE0,479.3,22.22,local road
AF0AF1 <> AF0AF1_0,AF0,AF1,482.4,22.22,local road
AF0AF1 <> AF0AF1_1,AF0,AF1,482.4,22.22,local road
AF0AG0 <> AF0AG0_0,AF0,AG0,479.1,22.22,local road
AF0AG0 <> AF0AG0_1,AF0,AG0,479.1,22.22,local road
AF10AE10 <> AF10AE10_0,AF10,AE10,482.4,22.22,local road
AF10AE10 <> AF10AE10_1,AF10,AE10,482.4,22.22,local road
AF10AF9 <> AF10AF9_0,AF10,AF9,482.4,22.22,local road
AF10AF9 <> AF10AF9_1,AF10,AF9,482.4,22.22,local road
AF10AG10 <> AF10AG10_0,AF10,AG10,482.4,22.22,local road
AF10AG10 <> AF10AG10_1,AF10,AG10,482.4,22.22,local road
AF1AE1 <> AF1AE1_0,AF1,AE1,482.4,13.89,local road
AF1AF0 <> AF1AF0_0,AF1,AF0,482.4,22.22,local road
AF1AF0 <> AF1AF0_1,AF1,AF0,482.4,22.22,local road
AF1AF2 <> AF1AF2_0,AF1,AF2,485.6,22.22,local road
AF1AF2 <> AF1AF2_1,AF1,AF2,485.6,22.22,local road
AF1AG1 <> AF1AG1_0,AF1,AG1,482.4,13.89,local road
AF2AE2 <> AF2AE2_0,AF2,AE2,482.4,13.89,local road
AF2AF1 <> AF2AF1_0,AF2,AF1,485.6,22.22,local road
AF2AF1 <> AF2AF1_1,AF2,AF1,485.6,22.22,local road
AF2AF3 <> AF2AF3_0,AF2,AF3,485.6,22.22,local road
AF2AF3 <> AF2AF3_1,AF2,AF3,485.6,22.22,local road
AF2AG2 <> AF2AG2_0,AF2,AG2,482.4,13.89,local road
AF3AE3 <> AF3AE3_0,AF3,AE3,482.4,13.89,local road
AF3AF2 <> AF3AF2_0,AF3,AF2,485.6,22.22,local road
AF3AF2 <> AF3AF2_1,AF3,AF2,485.6,22.22,local road
AF3AF4 <> AF3AF4_0,AF3,AF4,485.6,22.22,local road
AF3AF4 <> AF3AF4_1,AF3,AF4,485.6,22.22,local road
AF3AG3 <> AF3AG3_0,AF3,AG3,482.4,13.89,local road
AF4AE4 <> AF4AE4_0,AF4,AE4,482.4,13.89,local road
AF4AF3 <> AF4AF3_0,AF4,AF3,485.6,22.22,local road
AF4AF3 <> AF4AF3_1,AF4,AF3,485.6,22.22,local road
AF4AF5 <> AF4AF5_0,AF4,AF5,482.4,22.22,local road
AF4AF5 <> AF4AF5_1,AF4,AF5,482.4,22.22,local road
AF4AG4 <> AF4AG4_0,AF4,AG4,482.4,13.89,local road
AF5AE5 <> AF5AE5_0,AF5,AE5,482.4,22.22,local road
AF5AE5 <> AF5AE5_1,AF5,AE5,482.4,22.22,local road
AF5AF4 <> AF5AF4_0,AF5,AF4,482.4,22.22,local road
AF5AF4 <> AF5AF4_1,AF5,AF4,482.4,22.22,local road
AF5AF6 <> AF5AF6_0,AF5,AF6,482.4,22.22,local road
AF5AF6 <> AF5AF6_1,AF5,AF6,482.4,22.22,local road
AF5AG5 <> AF5AG5_0,AF5,AG5,482.4,22.22,local road
AF5AG5 <> AF5AG5_1,AF5,AG5,482.4,22.22,local road
AF6AE6 <> AF6AE6_0,AF6,AE6,482.4,13.89,local road
AF6AF5 <> AF6AF5_0,AF6,AF5,482.4,22.22,local road
AF6AF5 <> AF6AF5_1,AF6,AF5,482.4,22.22,local road
AF6AF7 <> AF6AF7_0,AF6,AF7,485.6,22.22,local road
AF6AF7 <> AF6AF7_1,AF6,AF7,485.6,22.22,local road
AF6AG6 <> AF6AG6_0,AF6,AG6,482.4,13.89,local road
AF7AE7 <> AF7AE7_0,AF7,AE7,482.4,13.89,local road
AF7AF6 <> AF7AF6_0,AF7,AF6,485.6,22.22,local road
AF7AF6 <> AF7AF6_1,AF7,AF6,485.6,22.22,local road
AF7AF8 <> AF7AF8_0,AF7,AF8,485.6,22.22,local road
AF7AF8 <> AF7AF8_1,AF7,AF8,485.6,22.22,local road
AF7AG7 <> AF7AG7_0,AF7,AG7,482.4,13.89,local road
AF8AE8 <> AF8AE8_0,AF8,AE8,482.4,13.89,local road
AF8AF7 <> AF8AF7_0,AF8,AF7,485.6,22.22,local road
AF8AF7 <> AF8AF7_1,AF8,AF7,485.6,22.22,local road
AF8AF9 <> AF8AF9_0,AF8,AF9,485.6,22.22,local road
AF8AF9 <> AF8AF9_1,AF8,AF9,485.6,22.22,local road
AF8AG8 <> AF8AG8_0,AF8,AG8,482.4,13.89,local road
AF9AE9 <> AF9AE9_0,AF9,AE9,482.4,13.89,local road
AF9AF10 <> AF9AF10_0,AF9,AF10,482.4,22.22,local road
AF9AF10 <> AF9AF10_1,AF9,AF10,482.4,22.22,local road
AF9AF8 <> AF9AF8_0,AF9,AF8,485.6,22.22,local road
AF9AF8 <> AF9AF8_1,AF9,AF8,485.6,22.22,local road
AF9AG9 <> AF9AG9_0,AF9,AG9,482.4,13.89,local road
AG0AF0 <> AG0AF0_0,AG0,AF0,479.1,22.22,local road
AG0AF0 <> AG0AF0_1,AG0,AF0,479.1,22.22,local road
AG0AG1 <> AG0AG1_0,AG0,AG1,482.4,13.89,local road
AG0AH0 <> AG0AH0_0,AG0,AH0,485.6,22.22,local road
AG0AH0 <> AG0AH0_1,AG0,AH0,485.6,22.22,local road
AG10AF10 <> AG10AF10_0,AG10,AF10,482.4,22.22,local road
AG10AF10 <> AG10AF10_1,AG10,AF10,482.4,22.22,local road
AG10AG9 <> AG10AG9_0,AG10,AG9,482.4,13.89,local road
AG10AH10 <> AG10AH10_0,AG10,AH10,485.6,22.22,local road
AG10AH10 <> AG10AH10_1,AG10,AH10,485.6,22.22,local road
AG1AF1 <> AG1AF1_0,AG1,AF1,482.4,13.89,local road
AG1AG0 <> AG1AG0_0,AG1,AG0,482.4,13.89,local road
AG1AG2 <> AG1AG2_0,AG1,AG2,485.6,13.89,local road
AG1AH1 <> AG1AH1_0,AG1,AH1,485.6,13.89,local road
AG2AF2 <> AG2AF2_0,AG2,AF2,482.4,13.89,local road
AG2AG1 <> AG2AG1_0,AG2,AG1,485.6,13.89,local road
AG2AG3 <> AG2AG3_0,AG2,AG3,485.6,13.89,local road
AG2AH2 <> AG2AH2_0,AG2,AH2,485.6,13.89,local road
AG3AF3 <> AG3AF3_0,AG3,AF3,482.4,13.89,local road
AG3AG2 <> AG3AG2_0,AG3,AG2,485.6,13.89,local road
AG3AG4 <> AG3AG4_0,AG3,AG4,485.6,13.89,local road
AG3AH3 <> AG3AH3_0,AG3,AH3,485.6,13.89,local road
AG4AF4 <> AG4AF4_0,AG4,AF4,482.4,13.89,local road
AG4AG3 <> AG4AG3_0,AG4,AG3,485.6,13.89,local road
AG4AG5 <> AG4AG5_0,AG4,AG5,482.4,13.89,local road
AG4AH4 <> AG4AH4_0,AG4,AH4,485.6,13.89,local road
AG5AF5 <> AG5AF5_0,AG5,AF5,482.4,22.22,local road
AG5AF5 <> AG5AF5_1,AG5,AF5,482.4,22.22,local road
AG5AG4 <> AG5AG4_0,AG5,AG4,482.4,13.89,local road
AG5AG6 <> AG5AG6_0,AG5,AG6,482.4,13.89,local road
AG5AH5 <> AG5AH5_0,AG5,AH5,485.6,22.22,local road
AG5AH5 <> AG5AH5_1,AG5,AH5,485.6,22.22,local road
AG6AF6 <> AG6AF6_0,AG6,AF6,482.4,13.89,local road
AG6AG5 <> AG6AG5_0,AG6,AG5,482.4,13.89,local road
AG6AG7 <> AG6AG7_0,AG6,AG7,485.6,13.89,local road
AG6AH6 <> AG6AH6_0,AG6,AH6,485.6,13.89,local road
AG7AF7 <> AG7AF7_0,AG7,AF7,482.4,13.89,local road
AG7AG6 <> AG7AG6_0,AG7,AG6,485.6,13.89,local road
AG7AG8 <> AG7AG8_0,AG7,AG8,485.6,13.89,local road
AG7AH7 <> AG7AH7_0,AG7,AH7,485.6,13.89,local road
AG8AF8 <> AG8AF8_0,AG8,AF8,482.4,13.89,local road
AG8AG7 <> AG8AG7_0,AG8,AG7,485.6,13.89,local road
AG8AG9 <> AG8AG9_0,AG8,AG9,485.6,13.89,local road
AG8AH8 <> AG8AH8_0,AG8,AH8,485.6,13.89,local road
AG9AF9 <> AG9AF9_0,AG9,AF9,482.4,13.89,local road
AG9AG10 <> AG9AG10_0,AG9,AG10,482.4,13.89,local road
AG9AG8 <> AG9AG8_0,AG9,AG8,485.6,13.89,local road
AG9AH9 <> AG9AH9_0,AG9,AH9,485.6,13.89,local road
